TAXON_ORDER,ENAME,CNAME
23275,Asian House-Martin,東方毛腳燕
23498,Collared Finchbill,白環鸚嘴鵯
23508,Styan's Bulbul,烏頭翁
23519,Red-whiskered Bulbul,紅耳鵯
23533,Light-vented Bulbul,白頭翁
23564,Sooty-headed Bulbul,白喉紅臀鵯
23715,Black Bulbul,紅嘴黑鵯
23734,Brown-eared Bulbul,棕耳鵯
23776,Chestnut Bulbul,栗背短腳鵯
23794,Wood Warbler,林柳鶯
23804,Yellow-browed Warbler,黃眉柳鶯
23805,Hume's Warbler,淡眉柳鶯
23810,Chinese Leaf Warbler,雲南柳鶯
23811,Pallas's Leaf Warbler,黃腰柳鶯
23819,Radde's Warbler,巨嘴柳鶯
23820,Yellow-streaked Warbler,棕眉柳鶯
23824,Tickell's Leaf Warbler,黃腹柳鶯
23830,Dusky Warbler,褐色柳鶯
23841,Buff-throated Warbler,棕腹柳鶯
23842,Willow Warbler,歐亞柳鶯
23846,Mountain Chiffchaff,東方嘰咋柳鶯
23852,Common Chiffchaff,嘰喳柳鶯
23872,Eastern Crowned Warbler,冠羽柳鶯
23873,Ijima's Leaf Warbler,飯島柳鶯
23902,White-spectacled Warbler,白眶鶲鶯
23913,Bianchi's Warbler,比氏鶲鶯
23918,Alström's Warbler,淡尾鶲鶯
23922,Greenish Warbler,暗綠柳鶯
23929,Two-barred Warbler,雙斑綠柳鶯
23934,Pale-legged Leaf Warbler,淡腳柳鶯
23935,Sakhalin Leaf Warbler,庫頁島柳鶯
23937,Japanese Leaf Warbler,日本柳鶯
23938,Arctic Warbler,極北柳鶯
23944,Kamchatka Leaf Warbler,勘察加柳鶯
23947,Chestnut-crowned Warbler,栗頭鶲鶯
23971,Sulphur-breasted Warbler,黑眉柳鶯
23978,Claudia's Leaf Warbler,克氏冠紋柳鶯
23979,Hartert's Leaf Warbler,哈氏冠紋柳鶯
24074,Asian Stubtail,短尾鶯
24111,Rufous-faced Warbler,棕面鶯
24146,Manchurian Bush Warbler,遠東樹鶯
24159,Brownish-flanked Bush Warbler,小鶯
24166,Yellowish-bellied Bush Warbler,深山鶯
24218,Black-throated Tit,紅頭山雀
24269,Asian Desert Warbler,漠地林鶯
24393,Taiwan Fulvetta,褐頭花翼
24440,Vinous-throated Parrotbill,粉紅鸚嘴
24476,Golden Parrotbill,黃羽鸚嘴
24491,Indochinese Yuhina,栗耳鳳鶥
24511,Taiwan Yuhina,冠羽畫眉
24644,Chestnut-flanked White-eye,紅脇繡眼
24686,Lowland White-eye,低地繡眼
24927,Rufous-capped Babbler,山紅頭
24994,Taiwan Scimitar-Babbler,小彎嘴
25030,Black-necklaced Scimitar-Babbler,大彎嘴
25131,Dusky Fulvetta,頭烏線
25345,Morrison's Fulvetta,繡眼畫眉
25488,Masked Laughingthrush,黑臉噪鶥
25523,Chinese Hwamei,大陸畫眉
25526,Taiwan Hwamei,台灣畫眉
25566,Rufous-crowned Laughingthrush,台灣白喉噪眉
25569,Black-throated Laughingthrush,黑喉噪眉
25594,Rusty Laughingthrush,棕噪眉
25603,White-browed Laughingthrush,白頰噪眉
25650,White-whiskered Laughingthrush,台灣噪眉
25700,White-eared Sibia,白耳畫眉
25742,Steere's Liocichla,黃胸藪眉
25762,Taiwan Barwing,紋翼畫眉
25801,Goldcrest,戴菊鳥
25818,Flamecrest,火冠戴菊鳥
25836,Eurasian Nuthatch,茶腹鳾
26188,Eurasian Wren,鷦鷯
26596,Brown Dipper,河烏
26659,Asian Glossy Starling,輝椋鳥
26727,Common Hill Myna,九官鳥
26739,European Starling,歐洲椋鳥
26755,Rosy Starling,粉紅椋鳥
26756,Daurian Starling,北椋鳥
26757,Chestnut-cheeked Starling,小椋鳥
26759,Black-collared Starling,黑領椋鳥
26760,Asian Pied Starling,斑椋鳥
26771,White-shouldered Starling,灰背椋鳥
26773,Chestnut-tailed Starling,灰頭椋鳥
26782,Red-billed Starling,絲光椋鳥
26783,White-cheeked Starling,灰椋鳥
26784,Common Myna,家八哥
26787,Bank Myna,岸八哥
26788,Vinous-breasted Starling,葡萄胸椋鳥
26795,Jungle Myna,林八哥
26801,Javan Myna,白尾八哥
26804,Great Myna,大八哥(叢八哥)
26806,Crested Myna,八哥(冠八哥)
26866,Long-tailed Glossy Starling,長尾麗椋鳥
26879,Superb Starling,栗頭麗椋鳥
27117,White's Thrush,白氏地鶇
27120,Scaly Thrush,虎斑地鶇
27258,Siberian Thrush,白眉地鶇
27308,Orange-headed Thrush,橙頭地鶇
27325,Chinese Thrush,寶興歌鶇
27357,Eurasian Blackbird,歐亞黑鶇
27427,Chinese Blackbird,中國黑鶇
27557,Taiwan Thrush,白頭鶇
27567,Japanese Thrush,烏灰鶇
27568,Gray-backed Thrush,灰背鶇
27571,Gray-sided Thrush,褐頭鶇
27572,Eyebrowed Thrush,白眉鶇
27574,Brown-headed Thrush,赤腹鶇
27578,Pale Thrush,白腹鶇
27647,Black-throated Thrush,黑頸鶇
27648,Red-throated Thrush,赤頸鶇
27650,Dusky Thrush,斑點鶇
27651,Naumann's Thrush,紅尾鶇
27656,Gray-streaked Flycatcher,灰斑鶲
27657,Dark-sided Flycatcher,烏鶲
27663,Ferruginous Flycatcher,紅尾鶲
27664,Asian Brown Flycatcher,寬嘴鶲
27669,Brown-breasted Flycatcher,褐胸鶲
27688,Spotted Flycatcher,斑鶲
27862,Oriental Magpie-Robin,鵲鴝
27879,White-rumped Shama,白腰鵲鴝
27930,Hainan Blue Flycatcher,海南藍仙鶲
27996,Brown-chested Jungle-Flycatcher,白喉林鶲
28026,Fujian Niltava,棕腹大仙鶲
28027,Rufous-bellied Niltava,棕腹仙鶲
28032,Vivid Niltava,黃腹琉璃
28036,Blue-and-white Flycatcher,白腹琉璃
28039,Zappey's Flycatcher,琉璃藍鶲
28048,Verditer Flycatcher,銅藍鶲
28213,Lesser Shortwing,白喉短翅鶇
28237,Rufous-tailed Robin,紅尾歌鴝
28239,Japanese Robin,日本歌鴝
28244,Ryukyu Robin,琉球歌鴝
28252,Siberian Blue Robin,藍歌鴝
28266,Bluethroat,藍喉鴝
28288,Taiwan Whistling-Thrush,台灣紫嘯鶇
28289,Blue Whistling-Thrush,白斑紫嘯鶇
28298,Little Forktail,小剪尾
28323,Siberian Rubythroat,野鴝
28330,White-tailed Robin,白尾鴝
28341,Red-flanked Bluetail,藍尾鴝
28345,White-browed Bush-Robin,白眉林鴝
28352,Collared Bush-Robin,栗背林鴝
28355,Yellow-rumped Flycatcher,白眉鶲
28356,Green-backed Flycatcher,綠背姬鶲
28357,Narcissus Flycatcher,黃眉黃鶲
28361,Mugimaki Flycatcher,白眉黃鶲
28362,Slaty-backed Flycatcher,銹胸藍姬鶲
28369,Snowy-browed Flycatcher,黃胸青鶲
28386,Rufous-gorgeted Flycatcher,橙胸姬鶲
28406,Taiga Flycatcher,紅喉鶲
28408,Red-breasted Flycatcher,紅胸鶲
28449,Blue-fronted Redstart,藍額紅尾鴝
28450,Plumbeous Redstart,鉛色水鶇
